name,steam_appid,required_age,legal_notice,platforms,categories,genres,recommendations,achievements,release_date,price,english,developer,publisher
Phantom Doctrine,559100,0,,windows,Single-player;Multi-player;PvP;Online PvP;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Family Sharing,Action;RPG;Strategy,{'total': 3476},47,2018-08-14,39.99,1,CreativeForge Games,Good Shepherd Entertainment
Super Blue Boy Planet,560260,0,,windows,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;Free to Play,{'total': 682},8,2016-12-16,0.0,1,NanningsGames,NanningsGames
Zup! 2,562220,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie,{'total': 6197},229,2016-12-05,1.99,1,Quiet River,Quiet River
Cabals: Card Blitz,562540,0,Copyright 2017 BISBOG SA,windows,Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;In-App Purchases,Free to Play;Strategy,,0,2017-02-08,0.0,1,Kyy Games,BISBOG SA
Tomato Way,565860,0,,windows,Single-player;Steam Trading Cards;Family Sharing,Action;Adventure;Casual;Indie;Racing,{'total': 424},0,2016-12-07,3.99,1,Vladislav Castillo Gonzalez,Vladislav Castillo Gonzalez
Zeus + Poseidon,566050,0,"© 2000-2001 Activision Publishing, Inc.  Activision, Zeus, and Poseidon are registered trademarks of Activision Publishing, Inc.  All rights reserved. All other trademarks and trade names are the properties of their respective owners.",windows,Single-player;Family Sharing,Strategy,{'total': 1504},0,2016-12-15,9.99,1,Impressions Games,Activision
Tattletail,568090,0,"Tattletail™ is property of Little Flag Software, LLC",windows;mac,Single-player;Steam Achievements;Steam Trading Cards;Family Sharing,Action;Indie,{'total': 3513},11,2016-12-28,4.99,1,Waygetter Electronics,"Little Flag Software, LLC"
Force of Nature,568570,0,,windows,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Family Sharing,Action;Adventure;Indie;RPG;Simulation;Strategy,{'total': 3802},18,2016-12-13,7.99,1,A.Y.std,A.Y.std
Cinderella Phenomenon - Otome/Visual Novel,568770,0,,windows;mac;linux,Single-player;Steam Achievements,Free to Play;Indie;Simulation,,14,2017-04-05,0.0,1,Dicesuki,Dicesuki
Multishop Tycoon Deluxe,568780,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Family Sharing,Indie;Simulation;Strategy,,20,2017-03-10,6.99,1,Maulidan Games,Maulidan Games
家有大貓 Nekojishi,570840,0,"About:<br />
<br />
Nekojishi 1.05<br />
<br />
Ren'Py 6.99.14<br />
<br />
This program contains free software under a number of licenses, including the MIT License and GNU Lesser General Public License.<br />
<br />
Sound effects used in this program, except those produced by Lightrain Music, are royalty free tracks allowed for use in commercial projects. The copyrights of these tracks belong to their respective rightsholders:<br />
<br />
© Taira Komori<br />
<br />
The copyrights to the story, character designs, artwork, interface design, and original sound track of Nekojishi belong to Team Nekojishi and Orange Juice Dog.<br />
<br />
©  Team Nekojishi<br />
©  Orange Juice Dog",windows;mac;linux,Single-player;Steam Achievements,Free to Play;Indie,,24,2017-11-12,0.0,1,Studio Klondike;Team Nekojishi,Studio Klondike;Orange Juice Dog
SteamWorld Dig 2,571310,0,"© 2017 Image & Form International AB. ""SteamWorld"" is a registered trademark of Image & Form International AB.",windows;mac;linux,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Family Sharing,Action;Adventure;Indie,{'total': 3570},34,2017-09-22,19.99,1,Image & Form Games,Image & Form Games
Them's Fightin' Herds,574980,0,"©2022 Developed by Mane6. All Rights Reserved. Published by Maximum Entertainment™. Maximum Entertainment™ is a registered trademark of Maximum Entertainment, LLC. All rights reserved. All other trademarks or registered trademarks belong to their respective owners.",windows;mac;linux,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play Together;Family Sharing,Action;Indie,{'total': 3133},28,2020-04-30,19.99,1,"Mane6, Inc.",Maximum Entertainment
